"Time (s)","Pressure (hPa)"
2.922806902E1,9.870778809E2
2.926806699E1,9.870785522E2
2.930806688E1,9.870789795E2
2.934805714E1,9.870826416E2
2.938805902E1,9.870881348E2
2.942806506E1,9.870887451E2
2.946806183E1,9.870892944E2
2.950806261E1,9.870918579E2
2.954806933E1,9.870903931E2
2.958806730E1,9.870876465E2
2.962806829E1,9.870883179E2
2.966805897E1,9.870885010E2
2.970805772E1,9.870870361E2
2.974805735E1,9.870868530E2
2.978806313E1,9.870878296E2
2.982806157E1,9.870891113E2
2.986806339E1,9.870871582E2
2.990806975E1,9.870855713E2
2.994806798E1,9.870860596E2
2.998805793E1,9.870867920E2
3.002805819E1,9.870876465E2
3.006805548E1,9.870908813E2
3.010806209E1,9.870941162E2
3.014806079E1,9.870928345E2
3.018806183E1,9.870907593E2
3.022806688E1,9.870911865E2
3.026806600E1,9.870931396E2
3.030806688E1,9.870939941E2
3.034805475E1,9.870975342E2
3.038805787E1,9.870997314E2
3.042806313E1,9.870983887E2
3.046806235E1,9.870963135E2
3.050806287E1,9.870963135E2
3.054806892E1,9.870982056E2
3.058806720E1,9.870993652E2
3.062805610E1,9.871011353E2
3.066806277E1,9.871027832E2
3.070806105E1,9.871054077E2
3.074806678E1,9.871058960E2
3.078806287E1,9.871065063E2
3.082806261E1,9.871072998E2
3.086806511E1,9.871078491E2
3.090806074E1,9.871049194E2
3.094806709E1,9.871026611E2
3.098806803E1,9.871043701E2
3.102806032E1,9.871049194E2
3.106805975E1,9.871041260E2
3.110806183E1,9.871049194E2
3.114806183E1,9.871058350E2
3.118806615E1,9.871044312E2
3.122806876E1,9.871050415E2
3.126806876E1,9.871084595E2
3.130807001E1,9.871101074E2
3.134805928E1,9.871109009E2
3.138805527E1,9.871131592E2
3.142806444E1,9.871146851E2
3.146806105E1,9.871132202E2
3.150806339E1,9.871135254E2
3.154806756E1,9.871166382E2
3.158806642E1,9.871169434E2
3.162806709E1,9.871154785E2
3.166805871E1,9.871176147E2
3.170806136E1,9.871226807E2
3.174806444E1,9.871246338E2
3.178806522E1,9.871259155E2
3.182806418E1,9.871278076E2
3.186806652E1,9.871265259E2
3.190806568E1,9.871240845E2
3.194806595E1,9.871236572E2
3.198805683E1,9.871237793E2
3.202805543E1,9.871252441E2
3.206806183E1,9.871291504E2
3.210806313E1,9.871309204E2
3.214806183E1,9.871311035E2
3.218806818E1,9.871326904E2
3.222806714E1,9.871336670E2
3.226806636E1,9.871333618E2
3.230805631E1,9.871338501E2
3.234806084E1,9.871364746E2
3.238806339E1,9.871377563E2
3.242806392E1,9.871371460E2
3.246806131E1,9.871373291E2
3.250806746E1,9.871361694E2
3.254806709E1,9.871329346E2
3.258805621E1,9.871309204E2
3.262806584E1,9.871287842E2
3.266806001E1,9.871275635E2
3.270805845E1,9.871292725E2
3.274806392E1,9.871309204E2
3.278806339E1,9.871320801E2
3.282806490E1,9.871342163E2
3.286806845E1,9.871347046E2
3.290806563E1,9.871348877E2
3.294806568E1,9.871362915E2
3.298805365E1,9.871375732E2
3.302805855E1,9.871389160E2
3.306806183E1,9.871402588E2
3.310806027E1,9.871400757E2
3.314806574E1,9.871377563E2
3.318806871E1,9.871370850E2
3.322806662E1,9.871387329E2
3.326805761E1,9.871418457E2
3.330805709E1,9.871447754E2
3.334805605E1,9.871488647E2
3.338806053E1,9.871533813E2
3.342806157E1,9.871557007E2
