"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.882927690E-1,1.403132677E-1,1.213617325E-1,3.039407730E-1
6.932927690E-1,8.175933361E-2,3.708887100E-2,2.989234924E-1
6.982927690E-1,3.750085831E-2,2.043104172E-2,3.345651627E-1
7.032927690E-1,2.246744633E-1,-6.378984451E-2,4.246997833E-1
7.082927690E-1,1.818207502E-1,-6.579065323E-2,4.400320053E-1
7.132927690E-1,-1.166462898E-3,5.971336365E-2,4.024829865E-1
7.182927690E-1,-1.542096138E-1,1.068387032E-1,4.093513489E-1
7.232927690E-1,-3.140788078E-1,1.034812927E-1,4.118661880E-1
7.282927690E-1,-3.942259550E-1,6.308841705E-2,3.459882736E-1
7.332927690E-1,-3.618163466E-1,6.124687195E-2,2.993221283E-1
7.382927690E-1,-2.900086641E-1,4.775428772E-2,2.457046509E-1
7.432927690E-1,-2.140985727E-1,2.182102203E-2,1.860761642E-1
7.482927690E-1,-1.184294224E-1,-9.215354919E-3,1.193256378E-1
7.532927690E-1,-1.343357563E-2,-4.335212708E-2,6.576919556E-2
7.582927690E-1,7.896637917E-2,-5.572462082E-2,-1.768684387E-2
7.632927690E-1,1.431773901E-1,-4.832410812E-2,-8.662223816E-2
7.682927690E-1,1.890113354E-1,-4.164457321E-2,-1.349668503E-1
7.732927690E-1,1.799067259E-1,-1.187038422E-2,-1.706619263E-1
7.782927690E-1,1.536878347E-1,3.050899506E-2,-2.044725418E-1
7.832927690E-1,1.098738909E-1,6.654548645E-2,-2.153544426E-1
7.882927690E-1,6.038808823E-2,1.148014069E-1,-1.636791229E-1
7.932927690E-1,3.581070900E-2,1.575069427E-1,-1.343641281E-1
7.982927690E-1,1.920235157E-2,1.917595863E-1,-4.570293427E-2
8.032927690E-1,2.312898636E-3,1.987285614E-1,2.197456360E-2
8.082927690E-1,-7.855176926E-3,1.976642609E-1,6.424713135E-2
8.132927690E-1,-1.410603523E-3,1.678886414E-1,1.233930588E-1
8.182927690E-1,2.425515652E-2,1.279220581E-1,1.996049881E-1
8.232927690E-1,6.080830097E-2,6.860637665E-2,2.576599121E-1
8.282927690E-1,1.002297401E-1,3.041267395E-2,2.927398682E-1
8.332927690E-1,1.314668655E-1,-2.166175842E-2,3.071575165E-1
8.382927690E-1,1.602249146E-1,-7.806825638E-2,3.411750793E-1
8.432927690E-1,1.629528999E-1,-8.933305740E-2,3.735055923E-1
8.482927690E-1,1.346327066E-1,-1.061105728E-1,4.145631790E-1
8.532927690E-1,9.467732906E-2,-1.216173172E-1,4.252672195E-1
8.582927690E-1,5.152904987E-2,-1.315975189E-1,4.115648270E-1
8.632927690E-1,1.276707649E-2,-1.294918060E-1,3.536968231E-1
8.682927690E-1,-1.881158352E-2,-1.273608208E-1,2.662906647E-1
8.732927690E-1,-3.735363483E-2,-1.047577858E-1,1.530618668E-1
8.782927690E-1,-6.059193611E-2,-6.593561172E-2,5.857753754E-2
8.832927690E-1,-1.009856462E-1,-6.223964691E-2,-5.045700073E-2
8.882927690E-1,-1.331396103E-1,-2.976131439E-2,-1.297197342E-1
8.932927690E-1,-1.536998749E-1,-5.376100540E-2,-1.725625992E-1
8.982927690E-1,-1.429574490E-1,-8.154964447E-2,-1.790657043E-1
9.032927690E-1,-1.230105162E-1,-1.174387932E-1,-1.914334297E-1
9.082927690E-1,-6.304419041E-2,-1.286578178E-1,-1.542863846E-1
9.132927690E-1,1.324295998E-2,-1.367969513E-1,-1.098423004E-1
9.182927690E-1,6.149744987E-2,-1.246705055E-1,-7.968521118E-2
9.232927690E-1,5.746471882E-2,-6.987237930E-2,-4.291248322E-2
9.282927690E-1,3.865730762E-2,-1.509714127E-2,-1.897907257E-2
9.332927690E-1,2.730643749E-2,2.524852753E-2,-5.312538147E-2
9.382927690E-1,-6.322503090E-3,6.605482101E-2,-9.060764313E-2
9.432927690E-1,-3.099906445E-2,7.987451553E-2,-1.161127090E-1
9.482927690E-1,-3.438496590E-2,8.056449890E-2,-1.542940140E-1
9.532927690E-1,-5.281698704E-2,7.283353806E-2,-1.915035248E-1
9.582927690E-1,-4.505681992E-2,4.010152817E-2,-2.328615189E-1
9.632927690E-1,-3.958094120E-2,3.641605377E-3,-2.642049789E-1
9.682927690E-1,-1.226651669E-2,-3.494024277E-2,-2.831449509E-1
9.732927690E-1,-8.215785027E-3,-4.799747467E-2,-2.570595741E-1
9.782927690E-1,-2.422404289E-2,-7.044029236E-2,-2.525620461E-1
9.832927690E-1,-6.958425045E-2,-8.213758469E-2,-2.473273277E-1
9.882927690E-1,-1.280912161E-1,-9.958314896E-2,-2.357616425E-1
9.932927690E-1,-1.881365776E-1,-1.268935204E-1,-2.420263290E-1
9.982927690E-1,-2.453436852E-1,-1.476845741E-1,-2.881956100E-1
1.003292769E0,-2.803667784E-1,-1.640510559E-1,-3.274526596E-1
1.008292769E0,-2.965584993E-1,-1.753921509E-1,-3.606224060E-1
1.013292769E0,-2.795937061E-1,-1.938390732E-1,-3.507881165E-1
1.018292769E0,-2.914265394E-1,-2.202568054E-1,-3.382468224E-1
1.023292769E0,-2.813949585E-1,-2.470774651E-1,-3.084554672E-1
1.028292769E0,-2.380650043E-1,-2.442526817E-1,-2.589383125E-1
1.033292769E0,-1.750515699E-1,-2.349681854E-1,-2.065668106E-1
1.038292769E0,-1.113798618E-1,-1.897926331E-1,-1.577243805E-1
1.043292769E0,-2.416825294E-2,-1.422772408E-1,-1.348199844E-1
1.048292769E0,5.872035027E-2,-7.480192184E-2,-1.210422516E-1
1.053292769E0,9.971666336E-2,6.836414337E-3,-1.286621094E-1
1.058292769E0,1.075618267E-1,7.458114624E-2,-1.209878922E-1
1.063292769E0,8.834969997E-2,1.431808472E-1,-1.248054504E-1
1.068292769E0,8.172166348E-2,1.841278076E-1,-1.558284760E-1
1.073292769E0,9.861898422E-2,2.024850845E-1,-1.668376923E-1
1.078292769E0,1.139228344E-1,2.002635002E-1,-1.908512115E-1
1.083292769E0,1.385236979E-1,2.114205360E-1,-1.946620941E-1
1.088292769E0,1.679580212E-1,1.940879822E-1,-1.693978310E-1
1.093292769E0,1.943843365E-1,2.015628815E-1,-1.342420578E-1
1.098292769E0,2.053071260E-1,2.087378502E-1,-1.107707024E-1
1.103292769E0,2.223738432E-1,2.174406052E-1,-5.648708344E-2
1.108292769E0,2.613697052E-1,2.116460800E-1,4.123210907E-2
1.113292769E0,2.975857258E-1,1.892085075E-1,1.191225052E-1
1.118292769E0,3.189573288E-1,1.830163002E-1,2.024116516E-1
1.123292769E0,3.152090311E-1,1.701831818E-1,2.812871933E-1
1.128292769E0,3.116264343E-1,1.467580795E-1,3.425397873E-1
1.133292769E0,2.842069864E-1,1.119837761E-1,3.657016754E-1
1.138292769E0,2.471623421E-1,7.929897308E-2,4.000940323E-1
1.143292769E0,1.629086733E-1,5.665397644E-2,4.242887497E-1
1.148292769E0,8.824992180E-2,7.175540924E-2,4.526357651E-1
1.153292769E0,5.157232285E-3,8.644676208E-2,4.868402481E-1
1.158292769E0,-6.915855408E-2,1.035676003E-1,4.833335876E-1
1.163292769E0,-1.064358950E-1,6.789922714E-2,4.651021957E-1
1.168292769E0,-1.115341187E-1,3.993177414E-2,4.150571823E-1
1.173292769E0,-7.225668430E-2,1.964092255E-2,3.641605377E-1
1.178292769E0,-2.001202106E-2,1.748657227E-2,3.167591095E-1
1.183292769E0,4.164481163E-2,3.367614746E-2,2.921485901E-1
1.188292769E0,1.297701597E-1,4.860353470E-2,2.642965317E-1
