"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.163829277E1,-4.305631667E-2,-2.145592421E-1,-9.804207802E0
1.164329277E1,-4.115772620E-2,-2.147381455E-1,-9.804212570E0
1.164829277E1,-4.007764906E-2,-2.157227695E-1,-9.804195404E0
1.165329277E1,-3.980276361E-2,-2.168065757E-1,-9.804172516E0
1.165829277E1,-4.022087902E-2,-2.173541486E-1,-9.804158211E0
1.166329277E1,-4.082861915E-2,-2.169456631E-1,-9.804164886E0
1.166829277E1,-4.117804766E-2,-2.158093154E-1,-9.804189682E0
1.167329277E1,-4.118440300E-2,-2.143434882E-1,-9.804221153E0
1.167829277E1,-4.100479931E-2,-2.131665498E-1,-9.804246902E0
1.168329277E1,-4.075022042E-2,-2.129323184E-1,-9.804252625E0
1.168829277E1,-4.082367569E-2,-2.131765038E-1,-9.804246902E0
1.169329277E1,-4.067545384E-2,-2.138790041E-1,-9.804233551E0
1.169829277E1,-4.048914835E-2,-2.143976539E-1,-9.804222107E0
1.170329277E1,-4.000242800E-2,-2.144325525E-1,-9.804224014E0
1.170829277E1,-3.999139741E-2,-2.140641809E-1,-9.804231644E0
1.171329277E1,-4.050853103E-2,-2.135072052E-1,-9.804242134E0
1.171829277E1,-4.118447378E-2,-2.128877491E-1,-9.804252625E0
1.172329277E1,-4.085764661E-2,-2.123164535E-1,-9.804265976E0
1.172829277E1,-3.996462747E-2,-2.122022212E-1,-9.804272652E0
1.173329277E1,-3.898290917E-2,-2.127643079E-1,-9.804265022E0
1.173829277E1,-3.804361075E-2,-2.135737389E-1,-9.804250717E0
1.174329277E1,-3.765714169E-2,-2.143719643E-1,-9.804233551E0
1.174829277E1,-3.846251592E-2,-2.149843872E-1,-9.804218292E0
1.175329277E1,-3.968033195E-2,-2.146429718E-1,-9.804221153E0
1.175829277E1,-4.103900865E-2,-2.136381269E-1,-9.804237366E0
1.176329277E1,-4.217176884E-2,-2.125977874E-1,-9.804254532E0
1.176829277E1,-4.312807322E-2,-2.116069496E-1,-9.804271698E0
1.177329277E1,-4.333877563E-2,-2.111556381E-1,-9.804281235E0
1.177829277E1,-4.341274127E-2,-2.110009640E-1,-9.804284096E0
1.178329277E1,-4.378877953E-2,-2.112226635E-1,-9.804277420E0
1.178829277E1,-4.396353289E-2,-2.111567706E-1,-9.804277420E0
1.179329277E1,-4.396328703E-2,-2.108054012E-1,-9.804286003E0
1.179829277E1,-4.395197704E-2,-2.102035582E-1,-9.804298401E0
1.180329277E1,-4.395828769E-2,-2.098237872E-1,-9.804307938E0
1.180829277E1,-4.409285262E-2,-2.095716596E-1,-9.804311752E0
1.181329277E1,-4.464676976E-2,-2.097827643E-1,-9.804304123E0
1.181829277E1,-4.570371285E-2,-2.101450711E-1,-9.804291725E0
1.182329277E1,-4.671628773E-2,-2.103884667E-1,-9.804281235E0
1.182829277E1,-4.735457525E-2,-2.102883458E-1,-9.804281235E0
1.183329277E1,-4.753818735E-2,-2.097718567E-1,-9.804290771E0
1.183829277E1,-4.757105932E-2,-2.090233266E-1,-9.804306984E0
1.184329277E1,-4.747228324E-2,-2.080667019E-1,-9.804327965E0
1.184829277E1,-4.741370678E-2,-2.072799653E-1,-9.804345131E0
1.185329277E1,-4.774515703E-2,-2.067086250E-1,-9.804354668E0
1.185829277E1,-4.853121936E-2,-2.060058117E-1,-9.804366112E0
1.186329277E1,-4.945117608E-2,-2.054494321E-1,-9.804373741E0
1.186829277E1,-5.042235553E-2,-2.051022202E-1,-9.804375648E0
1.187329277E1,-5.180899426E-2,-2.052494735E-1,-9.804365158E0
1.187829277E1,-5.277138203E-2,-2.054030001E-1,-9.804356575E0
1.188329277E1,-5.346315727E-2,-2.056804597E-1,-9.804347038E0
1.188829277E1,-5.455869064E-2,-2.058756053E-1,-9.804337502E0
