"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.126777170E-1,-2.719875574E-1,3.352120519E-1,-3.515526950E-1
3.147965190E-1,-2.732092738E-1,3.364337683E-1,-3.491092324E-1
3.169153730E-1,-2.756527364E-1,3.413206935E-1,-3.491092324E-1
3.190342270E-1,-2.768744528E-1,3.425424397E-1,-3.478874862E-1
3.211530290E-1,-2.780961990E-1,3.462076187E-1,-3.478874862E-1
3.232718830E-1,-2.793179154E-1,3.510945439E-1,-3.466657698E-1
3.253907370E-1,-2.805396616E-1,3.523162603E-1,-3.466657698E-1
3.275095920E-1,-2.829830945E-1,3.559814394E-1,-3.466657698E-1
3.296284460E-1,-2.829830945E-1,3.559814394E-1,-3.466657698E-1
3.317472480E-1,-2.866483033E-1,3.559814394E-1,-3.466657698E-1
3.338661020E-1,-2.866483033E-1,3.559814394E-1,-3.478874862E-1
3.359849560E-1,-2.890917659E-1,3.559814394E-1,-3.478874862E-1
3.381038100E-1,-2.890917659E-1,3.572031856E-1,-3.478874862E-1
3.402226120E-1,-2.890917659E-1,3.547597229E-1,-3.478874862E-1
3.423414670E-1,-2.890917659E-1,3.572031856E-1,-3.466657698E-1
3.444603210E-1,-2.866483033E-1,3.620901108E-1,-3.454440236E-1
3.465791750E-1,-2.842048407E-1,3.657552898E-1,-3.454440236E-1
3.486979770E-1,-2.829830945E-1,3.743073940E-1,-3.442223072E-1
3.508168310E-1,-2.768744528E-1,3.791943192E-1,-3.454440236E-1
3.529356850E-1,-2.756527364E-1,3.889681399E-1,-3.454440236E-1
3.550544870E-1,-2.719875574E-1,3.975202441E-1,-3.454440236E-1
3.571733420E-1,-2.695440948E-1,4.072940946E-1,-3.478874862E-1
3.592921960E-1,-2.658788860E-1,4.121810198E-1,-3.491092324E-1
3.614110500E-1,-2.634354234E-1,4.231765866E-1,-3.515526950E-1
3.635299040E-1,-2.622137070E-1,4.280634820E-1,-3.527744114E-1
3.656487060E-1,-2.609919906E-1,4.341721535E-1,-3.576613367E-1
3.677675600E-1,-2.597702444E-1,4.402807951E-1,-3.601047993E-1
3.698864150E-1,-2.573267817E-1,4.476111531E-1,-3.613265157E-1
3.720052690E-1,-2.573267817E-1,4.537198246E-1,-3.625482321E-1
3.741240710E-1,-2.573267817E-1,4.586067200E-1,-3.637699783E-1
3.762429250E-1,-2.585485280E-1,4.683805704E-1,-3.637699783E-1
3.783617790E-1,-2.609919906E-1,4.781544209E-1,-3.637699783E-1
3.804806330E-1,-2.609919906E-1,4.879282415E-1,-3.637699783E-1
3.825994350E-1,-2.634354234E-1,4.952586293E-1,-3.649916947E-1
3.847182900E-1,-2.646571696E-1,5.038107038E-1,-3.625482321E-1
3.868371440E-1,-2.658788860E-1,5.123628378E-1,-3.613265157E-1
3.889559980E-1,-2.707658112E-1,5.209149122E-1,-3.637699783E-1
3.910748000E-1,-2.732092738E-1,5.294670463E-1,-3.613265157E-1
3.931936540E-1,-2.780961990E-1,5.319104791E-1,-3.576613367E-1
3.953125080E-1,-2.829830945E-1,5.343539715E-1,-3.515526950E-1
3.974313620E-1,-2.866483033E-1,5.367974043E-1,-3.466657698E-1
