"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
4.932927690E-1,3.882689525E-1,1.816957146E-1,2.114580423E-1,8.783617616E-1,1.343063373E2,3.125420694E1,-8.915865450E0,1.298069853E2
4.982927690E-1,3.886565359E-1,1.803671718E-1,2.114364803E-1,8.784693480E-1,1.342581381E2,3.118089814E1,-8.774252005E0,1.298157762E2
5.032927690E-1,3.890375649E-1,1.791258752E-1,2.114266902E-1,8.785570264E-1,1.342107457E2,3.111378456E1,-8.640762323E0,1.298213580E2
5.082927690E-1,3.894479551E-1,1.779520363E-1,2.114159465E-1,8.786163330E-1,1.341596922E2,3.105066713E1,-8.512901925E0,1.298203177E2
5.132927690E-1,3.898942508E-1,1.768321842E-1,2.114108652E-1,8.786457181E-1,1.341041609E2,3.099152842E1,-8.388815941E0,1.298124127E2
5.182927690E-1,3.903763610E-1,1.757469624E-1,2.114186883E-1,8.786475062E-1,1.340441606E2,3.093604154E1,-8.266264299E0,1.297984364E2
5.232927690E-1,3.909050506E-1,1.746781766E-1,2.114338428E-1,8.786219358E-1,1.339783480E2,3.088266263E1,-8.143396172E0,1.297778774E2
5.282927690E-1,3.914704622E-1,1.736281961E-1,2.114566714E-1,8.785728216E-1,1.339079463E2,3.083145999E1,-8.020762929E0,1.297518453E2
5.332927690E-1,3.920598628E-1,1.726019830E-1,2.114893645E-1,8.785043359E-1,1.338345381E2,3.078282541E1,-7.899170062E0,1.297216857E2
5.382927690E-1,3.926807046E-1,1.716056913E-1,2.115149498E-1,8.784160614E-1,1.337571923E2,3.073532036E1,-7.779825589E0,1.296863508E2
5.432927690E-1,3.933093366E-1,1.706615686E-1,2.115286440E-1,8.783154488E-1,1.336788533E2,3.068946445E1,-7.665936560E0,1.296478609E2
5.482927690E-1,3.939439980E-1,1.697746813E-1,2.115317583E-1,8.782021403E-1,1.335997396E2,3.064565420E1,-7.557993530E0,1.296062388E2
5.532927690E-1,3.945912596E-1,1.689382643E-1,2.115457952E-1,8.780694604E-1,1.335190312E2,3.060586058E1,-7.454037571E0,1.295608582E2
5.582927690E-1,3.952493153E-1,1.681549698E-1,2.115704864E-1,8.779178858E-1,1.334369518E2,3.057017688E1,-7.354400980E0,1.295118560E2
5.632927690E-1,3.958919671E-1,1.674376726E-1,2.116127163E-1,8.777552247E-1,1.333567692E2,3.053985203E1,-7.260862347E0,1.294618979E2
5.682927690E-1,3.965141329E-1,1.667925417E-1,2.116700113E-1,8.775833845E-1,1.332791197E2,3.051492221E1,-7.174312493E0,1.294113979E2
5.732927690E-1,3.970973264E-1,1.662283838E-1,2.117487043E-1,8.774077296E-1,1.332063134E2,3.049642019E1,-7.095898977E0,1.293622547E2
5.782927690E-1,3.976360191E-1,1.657494158E-1,2.118402719E-1,8.772322536E-1,1.331390449E2,3.048363179E1,-7.026640113E0,1.293150461E2
5.832927690E-1,3.981463085E-1,1.653340608E-1,2.119381279E-1,8.770555258E-1,1.330753074E2,3.047478306E1,-6.964222371E0,1.292687164E2
5.882927690E-1,3.986241755E-1,1.649840623E-1,2.120485455E-1,8.768776655E-1,1.330156056E2,3.047061813E1,-6.908627526E0,1.292236696E2
5.932927690E-1,3.990743748E-1,1.647030264E-1,2.121659666E-1,8.766973019E-1,1.329593482E2,3.047077850E1,-6.860326779E0,1.291792231E2
5.982927690E-1,3.995002343E-1,1.644897312E-1,2.122815698E-1,8.765153885E-1,1.329061211E2,3.047428165E1,-6.819533525E0,1.291350718E2
6.032927690E-1,3.999182454E-1,1.643466949E-1,2.123745084E-1,8.763290644E-1,1.328538646E2,3.047915448E1,-6.787001199E0,1.290892104E2
6.082927690E-1,4.003176862E-1,1.642725766E-1,2.124527097E-1,8.761416078E-1,1.328039198E2,3.048610573E1,-6.762550530E0,1.290429645E2
6.132927690E-1,4.007018311E-1,1.642608941E-1,2.125183940E-1,8.759522438E-1,1.327558787E2,3.049504545E1,-6.745325560E0,1.289961797E2
6.182927690E-1,4.010677952E-1,1.643010080E-1,2.125777155E-1,8.757628202E-1,1.327101030E2,3.050603314E1,-6.734069294E0,1.289495979E2
6.232927690E-1,4.014201976E-1,1.643790752E-1,2.126256078E-1,8.755750656E-1,1.326660161E2,3.051780124E1,-6.727534656E0,1.289032243E2
6.282927690E-1,4.017578658E-1,1.644996554E-1,2.126642317E-1,8.753881454E-1,1.326237655E2,3.053083030E1,-6.726093991E0,1.288570100E2
6.332927690E-1,4.020942177E-1,1.646604836E-1,2.126866579E-1,8.751980066E-1,1.325816728E2,3.054435084E1,-6.729432262E0,1.288094357E2
6.382927690E-1,4.024276682E-1,1.648642868E-1,2.126988322E-1,8.750033975E-1,1.325399365E2,3.055914496E1,-6.737562959E0,1.287605549E2
6.432927690E-1,4.027460642E-1,1.651168615E-1,2.127228230E-1,8.748034239E-1,1.325000783E2,3.057781595E1,-6.750325091E0,1.287115128E2
6.482927690E-1,4.030466222E-1,1.654164493E-1,2.127550989E-1,8.746005297E-1,1.324624475E2,3.059987814E1,-6.767815776E0,1.286627307E2
6.532927690E-1,4.033272587E-1,1.657686234E-1,2.127975821E-1,8.743941188E-1,1.324273061E2,3.062583965E1,-6.790543910E0,1.286142263E2
6.582927690E-1,4.364787313E-1,1.741266847E-1,2.063910365E-1,8.582359552E-1,1.282411495E2,3.065551255E1,-6.817830108E0,1.242156128E2
6.632927690E-1,4.367641426E-1,1.745964736E-1,2.064272314E-1,8.579865694E-1,1.282047955E2,3.068931208E1,-6.850714671E0,1.241606594E2
6.682927690E-1,4.370846365E-1,1.751111448E-1,2.064676881E-1,8.577086926E-1,1.281639662E2,3.072653276E1,-6.886388657E0,1.240994252E2
6.732927690E-1,4.374664882E-1,1.756332815E-1,2.065396756E-1,8.573898673E-1,1.281153110E2,3.076798033E1,-6.918883163E0,1.240300354E2
6.782927690E-1,4.378730690E-1,1.762248874E-1,2.066248059E-1,8.570403457E-1,1.280634937E2,3.081520584E1,-6.956329825E0,1.239545746E2
6.832927690E-1,4.383192124E-1,1.768841594E-1,2.067117691E-1,8.566554189E-1,1.280066213E2,3.086704817E1,-6.998656390E0,1.238712932E2
6.882927690E-1,4.388168498E-1,1.775880903E-1,2.068225294E-1,8.562281728E-1,1.279431683E2,3.092452705E1,-7.042031495E0,1.237795283E2
6.932927690E-1,4.393928009E-1,1.783232242E-1,2.069342732E-1,8.557528853E-1,1.278697083E2,3.098466131E1,-7.085501545E0,1.236765746E2
6.982927690E-1,4.400253532E-1,1.790955365E-1,2.070657313E-1,8.552346230E-1,1.277890024E2,3.104963445E1,-7.129308281E0,1.235647836E2
7.032927690E-1,4.406762813E-1,1.800074726E-1,2.071290016E-1,8.546925187E-1,1.277059230E2,3.111624874E1,-7.189326001E0,1.234450143E2
7.082927690E-1,4.413770297E-1,1.810012013E-1,2.072050124E-1,8.541024327E-1,1.276164518E2,3.118972876E1,-7.254452994E0,1.233153287E2
7.132927690E-1,4.420918395E-1,1.820095479E-1,2.073891014E-1,8.534735441E-1,1.275251498E2,3.127568978E1,-7.314210204E0,1.231825369E2
7.182927690E-1,4.428299697E-1,1.830054969E-1,2.076385617E-1,8.528169990E-1,1.274308315E2,3.136809217E1,-7.368087721E0,1.230468138E2
7.232927690E-1,4.435798858E-1,1.839757264E-1,2.079411000E-1,8.521445394E-1,1.273349680E2,3.146473832E1,-7.415903164E0,1.229102290E2
7.282927690E-1,4.443072060E-1,1.849341840E-1,2.082732171E-1,8.514767885E-1,1.272419550E2,3.156376531E1,-7.461487755E0,1.227766078E2
7.332927690E-1,4.449745728E-1,1.859204620E-1,2.086135000E-1,8.508299589E-1,1.271565761E2,3.166509957E1,-7.511084287E0,1.226490284E2
