"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.063076590E2,3.898125076E1,-1.552500057E1,-3.075000191E1
1.063176590E2,4.406250000E1,-1.530000019E1,-3.380625153E1
1.063276590E2,4.561875153E1,-1.500000095E1,-3.245625305E1
1.063376590E2,4.258125305E1,-1.700625038E1,-2.926875114E1
1.063476590E2,3.793125153E1,-1.809375000E1,-2.988750076E1
1.063576590E2,3.483750153E1,-1.953750038E1,-2.956875038E1
1.063676590E2,3.727500153E1,-2.040000153E1,-3.234375000E1
1.063776590E2,4.246875000E1,-1.931250000E1,-3.283125305E1
1.063876590E2,4.543125153E1,-1.768125153E1,-3.114375114E1
1.063976590E2,4.400625229E1,-1.861875153E1,-2.760000038E1
1.064076590E2,3.609375000E1,-1.983750153E1,-2.611875153E1
1.064176590E2,3.515625000E1,-1.899375153E1,-2.790000153E1
1.064276590E2,3.821250153E1,-1.822500038E1,-2.973750114E1
1.064376590E2,4.408125305E1,-1.719375038E1,-2.788125038E1
1.064476590E2,4.599375153E1,-1.710000038E1,-2.868750191E1
1.064576590E2,4.417500305E1,-1.760625076E1,-2.518125153E1
1.064676590E2,3.811875153E1,-1.590000057E1,-2.506875038E1
1.064776590E2,3.433125305E1,-1.678125000E1,-2.572500038E1
1.064876590E2,3.748125076E1,-1.726875114E1,-2.730000114E1
1.064976590E2,4.303125000E1,-1.428750038E1,-2.887500191E1
1.065076590E2,4.511250305E1,-1.620000076E1,-2.844375038E1
1.065176590E2,4.271250153E1,-1.404375076E1,-2.529375076E1
1.065276590E2,3.727500153E1,-1.516875076E1,-2.544375038E1
1.065376590E2,3.444375229E1,-1.522500038E1,-2.741250038E1
1.065476590E2,3.721875000E1,-1.608750153E1,-3.020625114E1
1.065576590E2,4.213125229E1,-1.693125153E1,-3.131250191E1
1.065676590E2,4.620000076E1,-1.590000057E1,-3.146250153E1
1.065776590E2,4.342500305E1,-1.687500000E1,-2.632500076E1
1.065876590E2,3.723750305E1,-1.698750114E1,-2.810625076E1
1.065976590E2,3.279375076E1,-1.910625076E1,-2.643750191E1
1.066076590E2,3.648750305E1,-1.899375153E1,-3.058125114E1
1.066176590E2,4.496250153E1,-1.710000038E1,-3.211875153E1
1.066276590E2,4.515000153E1,-1.815000153E1,-3.015000153E1
1.066376590E2,4.216875076E1,-1.788750076E1,-2.576250076E1
1.066476590E2,3.757500076E1,-1.738125038E1,-2.572500038E1
1.066576590E2,3.253125000E1,-1.955625153E1,-2.499375153E1
1.066676590E2,3.594375229E1,-1.805625153E1,-3.001875114E1
1.066776590E2,4.228125000E1,-1.781250000E1,-2.919375038E1
1.066876590E2,4.586250305E1,-1.691250038E1,-2.698125076E1
1.066976590E2,4.344375229E1,-1.509375095E1,-2.475000191E1
1.067076590E2,3.635625076E1,-1.708125114E1,-2.385000038E1
