"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.418305657E1,-1.339980662E-1,-2.440679073E-1,-9.647860527E0
1.418517542E1,-1.531406492E-1,-2.009970993E-1,-9.667003632E0
1.418729428E1,-6.221338734E-2,-1.770688742E-1,-9.585647583E0
1.418941308E1,-1.148554832E-1,-2.009970993E-1,-9.757930756E0
1.419153194E1,-3.349951655E-2,-1.387837082E-1,-9.767501831E0
1.419365079E1,-2.871387079E-2,-1.531406492E-1,-9.762716293E0
1.419576964E1,-6.221338734E-2,-2.009970993E-1,-9.671789169E0
1.419788850E1,-1.914258115E-2,-1.722832322E-1,-9.576076508E0
1.420000735E1,-5.264209956E-2,-2.057827413E-1,-9.700503349E0
1.420212621E1,-3.828516230E-2,-1.579262912E-1,-9.815358162E0
1.420424506E1,-5.742774159E-2,-1.770688742E-1,-9.820143700E0
1.420636392E1,-7.178468257E-2,-2.009970993E-1,-9.695717812E0
1.420848277E1,-8.135596663E-2,-2.009970993E-1,-9.489934921E0
1.421060157E1,-9.092725813E-2,-2.440679073E-1,-9.628718376E0
1.421272042E1,-7.657032460E-2,-2.297109663E-1,-9.829715729E0
1.421483928E1,-9.092725813E-2,-1.962114573E-1,-9.772287369E0
1.421695813E1,-1.100698411E-1,-2.488535494E-1,-9.801001549E0
1.421907699E1,-1.483550072E-1,-2.105683982E-1,-9.623932838E0
1.422119584E1,-9.571290761E-2,-2.153540403E-1,-9.609575272E0
1.422331470E1,-1.100698411E-1,-2.201396823E-1,-9.820143700E0
1.422543355E1,-5.264209956E-2,-1.339980662E-1,-9.805787086E0
1.422755240E1,-1.004985496E-1,-2.057827413E-1,-9.839286804E0
1.422967126E1,-3.828516230E-2,-1.962114573E-1,-9.652647018E0
1.423179006E1,-6.221338734E-2,-1.818545163E-1,-9.623932838E0
1.423390897E1,-8.135596663E-2,-2.153540403E-1,-9.686145782E0
1.423602777E1,-3.828516230E-2,-1.627119333E-1,-9.619147301E0
1.423814662E1,-6.699903309E-2,-2.057827413E-1,-9.762716293E0
1.424026548E1,-9.571290575E-3,-2.009970993E-1,-9.643074989E0
1.424238433E1,-8.614161611E-2,-1.866401732E-1,-9.681360245E0
1.424450319E1,0.000000000E0,-2.249253243E-1,-9.600004196E0
1.424662204E1,-8.614161611E-2,-1.914258152E-1,-9.590433121E0
1.424874089E1,-1.196411327E-1,-2.440679073E-1,-9.695717812E0
1.425085975E1,-1.052841991E-1,-1.627119333E-1,-9.724431038E0
1.425297855E1,-1.531406492E-1,-2.009970993E-1,-9.690931320E0
1.425509740E1,-1.627119333E-1,-1.914258152E-1,-9.643074989E0
1.425721626E1,-1.196411327E-1,-1.627119333E-1,-9.556933403E0
1.425933511E1,-1.579262912E-1,-1.962114573E-1,-9.719645500E0
1.426145397E1,-1.100698411E-1,-1.531406492E-1,-9.805787086E0
1.426357282E1,-1.531406492E-1,-1.435693651E-1,-9.690931320E0
1.426569168E1,-1.435693651E-1,-1.866401732E-1,-9.590433121E0
1.426781053E1,-1.292124242E-1,-1.531406492E-1,-9.533005714E0
1.426992938E1,-1.531406492E-1,-1.531406492E-1,-9.652647018E0
1.427204819E1,-4.307080805E-2,-1.387837082E-1,-9.753145218E0
1.427416704E1,-4.785645381E-2,-1.435693651E-1,-9.676574707E0
1.427628589E1,-9.092725813E-2,-2.201396823E-1,-9.690931320E0
1.427840475E1,0.000000000E0,-1.866401732E-1,-9.432506561E0
1.428052360E1,-8.614161611E-2,-2.440679073E-1,-9.580862045E0
1.428264246E1,-6.221338734E-2,-2.249253243E-1,-9.710074425E0
1.428476131E1,-8.135596663E-2,-1.818545163E-1,-9.652647018E0
1.428688017E1,-1.004985496E-1,-2.967100143E-1,-9.772287369E0
1.428899902E1,-7.178468257E-2,-2.536391914E-1,-9.470791817E0
1.429111787E1,-1.531406492E-1,-2.632105052E-1,-9.513862610E0
1.429323668E1,-1.052841991E-1,-2.775674164E-1,-9.743574142E0
1.429535553E1,-3.349951655E-2,-1.866401732E-1,-9.686145782E0
1.429747438E1,-1.339980662E-1,-2.823530734E-1,-9.824930191E0
1.429959324E1,-7.178468257E-2,-2.105683982E-1,-9.585647583E0
1.430171209E1,-1.148554832E-1,-2.105683982E-1,-9.580862045E0
1.430383095E1,-1.100698411E-1,-2.584248483E-1,-9.734002113E0
1.430594980E1,-6.221338734E-2,-1.339980662E-1,-9.686145782E0
1.430806865E1,-1.962114573E-1,-1.866401732E-1,-9.834501266E0
1.431018751E1,-7.657032460E-2,-1.483550072E-1,-9.628718376E0
1.431230631E1,-1.770688742E-1,-1.627119333E-1,-9.686145782E0
1.431442517E1,-1.004985496E-1,-2.105683982E-1,-9.638289452E0
1.431654402E1,-1.435693651E-1,-1.196411327E-1,-9.628718376E0
1.431866287E1,-1.770688742E-1,-1.914258152E-1,-9.695717812E0
1.432078173E1,-1.483550072E-1,-1.579262912E-1,-9.743574142E0
1.432290058E1,-2.057827413E-1,-1.674975902E-1,-9.652647018E0
1.432501944E1,-1.722832322E-1,-2.009970993E-1,-9.533005714E0
1.432713829E1,-1.292124242E-1,-2.009970993E-1,-9.585647583E0
1.432925714E1,-1.627119333E-1,-2.009970993E-1,-9.623932838E0
1.433137600E1,-1.100698411E-1,-2.105683982E-1,-9.676574707E0
1.433349485E1,-1.579262912E-1,-2.153540403E-1,-9.657432556E0
1.433561365E1,-1.244267747E-1,-2.392822653E-1,-9.518648148E0
1.433773251E1,-1.148554832E-1,-2.679961324E-1,-9.408578873E0
1.433985136E1,-1.483550072E-1,-2.392822653E-1,-9.528220177E0
1.434197022E1,-8.614161611E-2,-2.009970993E-1,-9.700503349E0
1.434408907E1,-6.699903309E-2,-2.057827413E-1,-9.743574142E0
1.434620793E1,-1.196411327E-1,-2.297109663E-1,-9.580862045E0
1.434832678E1,-1.004985496E-1,-2.344966233E-1,-9.451649666E0
1.435044563E1,-1.387837082E-1,-2.153540403E-1,-9.556933403E0
1.435256449E1,-1.004985496E-1,-1.722832322E-1,-9.757930756E0
1.435468334E1,-1.004985496E-1,-1.435693651E-1,-9.872786522E0
1.435680214E1,-1.387837082E-1,-1.722832322E-1,-9.853643417E0
1.435892100E1,-9.092725813E-2,-1.674975902E-1,-9.657432556E0
1.436103985E1,-9.571290761E-2,-1.435693651E-1,-9.590433121E0
1.436315871E1,-1.435693651E-1,-1.818545163E-1,-9.887143135E0
1.436527756E1,-5.264209956E-2,-1.387837082E-1,-9.796216011E0
1.436739642E1,-1.196411327E-1,-1.770688742E-1,-9.772287369E0
1.436951527E1,-1.339980662E-1,-1.914258152E-1,-9.657432556E0
1.437163412E1,-6.699903309E-2,-1.579262912E-1,-9.537791252E0
1.437375298E1,-1.627119333E-1,-2.632105052E-1,-9.801001549E0
1.437587183E1,-6.699903309E-2,-1.818545163E-1,-9.580862045E0
1.437799063E1,-1.483550072E-1,-2.344966233E-1,-9.710074425E0
1.438010949E1,-1.004985496E-1,-2.727817893E-1,-9.571290970E0
1.438222834E1,-1.244267747E-1,-2.344966233E-1,-9.571290970E0
1.438434720E1,-1.244267747E-1,-3.014956415E-1,-9.667003632E0
1.438646605E1,-1.627119333E-1,-1.866401732E-1,-9.580862045E0
1.438858490E1,-1.387837082E-1,-2.344966233E-1,-9.676574707E0
1.439070376E1,-1.052841991E-1,-2.201396823E-1,-9.734002113E0
1.439282261E1,-1.483550072E-1,-1.962114573E-1,-9.762716293E0
1.439494147E1,-9.092725813E-2,-2.057827413E-1,-9.623932838E0
1.439706032E1,-1.244267747E-1,-1.818545163E-1,-9.633503914E0
1.439917912E1,-1.579262912E-1,-1.914258152E-1,-9.719645500E0
1.440129798E1,-1.100698411E-1,-1.004985496E-1,-9.734002113E0
1.440341678E1,-1.531406492E-1,-1.339980662E-1,-9.743574142E0
1.440553568E1,-1.483550072E-1,-1.387837082E-1,-9.667003632E0
1.440765454E1,-1.627119333E-1,-1.627119333E-1,-9.446864128E0
1.440977339E1,-1.627119333E-1,-1.818545163E-1,-9.609575272E0
1.441189225E1,-1.292124242E-1,-1.674975902E-1,-9.848857880E0
1.441401110E1,-1.387837082E-1,-1.531406492E-1,-9.805787086E0
1.441612996E1,-1.483550072E-1,-2.536391914E-1,-9.671789169E0
1.441824881E1,-1.722832322E-1,-2.488535494E-1,-9.489934921E0
1.442036761E1,-2.057827413E-1,-1.962114573E-1,-9.619147301E0
1.442248647E1,-1.052841991E-1,-1.962114573E-1,-9.710074425E0
1.442460532E1,-1.196411327E-1,-1.818545163E-1,-9.925428391E0
1.442672418E1,-6.699903309E-2,-1.962114573E-1,-9.824930191E0
1.442884303E1,-1.435693540E-2,-2.009970993E-1,-9.585647583E0
1.443096188E1,-8.135596663E-2,-2.297109663E-1,-9.518648148E0
1.443308074E1,-7.178468257E-2,-2.440679073E-1,-9.753145218E0
1.443519959E1,-4.307080805E-2,-1.818545163E-1,-9.877572060E0
