"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.129789748E1,5.037559757E1,1.628181613E1,6.047461635E2,6.495332031E2,0.000000000E0,NaN,2.071781803E0,3.790092468E0,4.484690666E0,2.600000000E1
5.229841253E1,5.037559753E1,1.628181615E1,6.047488489E2,6.495358887E2,0.000000000E0,NaN,2.071795599E0,3.801907063E0,4.667917728E0,2.600000000E1
5.329806337E1,5.037559742E1,1.628181624E1,6.047666709E2,6.495537109E2,0.000000000E0,NaN,2.071815664E0,3.818277121E0,4.587982655E0,2.600000000E1
5.429848894E1,5.037559760E1,1.628181626E1,6.047361539E2,6.495231934E2,0.000000000E0,NaN,2.071818302E0,3.811912060E0,4.541665554E0,2.500000000E1
5.529852779E1,5.037559762E1,1.628181628E1,6.047381071E2,6.495251465E2,0.000000000E0,NaN,2.071819414E0,3.790092468E0,4.454727650E0,2.500000000E1
5.629804925E1,5.037559763E1,1.628181628E1,6.047376188E2,6.495246582E2,0.000000000E0,NaN,2.071822052E0,3.809783697E0,4.500048637E0,2.500000000E1
5.729869081E1,5.037559765E1,1.628181626E1,6.047359099E2,6.495229492E2,0.000000000E0,NaN,2.071824276E0,3.863074303E0,4.440902710E0,2.400000000E1
5.829826597E1,5.037559767E1,1.628181626E1,6.047339568E2,6.495209961E2,0.000000000E0,NaN,2.071835622E0,4.009908199E0,4.489607811E0,2.500000000E1
5.929777737E1,5.037559767E1,1.628181610E1,6.047311491E2,6.495181885E2,0.000000000E0,NaN,2.071840001E0,3.931864262E0,4.435343266E0,2.600000000E1
6.029832003E1,5.037559770E1,1.628181606E1,6.047302947E2,6.495173340E2,0.000000000E0,NaN,2.071844448E0,3.889850378E0,4.110981464E0,2.700000000E1
6.129857190E1,5.037559774E1,1.628181606E1,6.047288299E2,6.495158691E2,0.000000000E0,NaN,2.071846783E0,3.972352505E0,3.876471043E0,2.600000000E1
6.229814878E1,5.037559776E1,1.628181605E1,6.047243134E2,6.495113525E2,0.000000000E0,NaN,2.071848102E0,3.836177111E0,3.798527002E0,2.500000000E1
6.329874722E1,5.037559775E1,1.628181606E1,6.047285858E2,6.495156250E2,0.000000000E0,NaN,2.071855193E0,3.790092468E0,3.667892218E0,2.600000000E1
6.429870716E1,5.037559775E1,1.628181596E1,6.047246795E2,6.495117188E2,0.000000000E0,NaN,2.071859378E0,3.790092468E0,3.647402048E0,2.500000000E1
6.529839383E1,5.037559777E1,1.628181591E1,6.047197967E2,6.495068359E2,0.000000000E0,NaN,2.071861181E0,3.843645334E0,4.086538792E0,2.600000000E1
6.629797607E1,5.037559778E1,1.628181593E1,6.047222382E2,6.495092773E2,0.000000000E0,NaN,2.071862293E0,3.904103279E0,4.267615795E0,2.600000000E1
6.729866664E1,5.037559779E1,1.628181593E1,6.047196747E2,6.495067139E2,0.000000000E0,NaN,2.071864693E0,3.795516968E0,4.235169888E0,2.600000000E1
6.829824143E1,5.037559780E1,1.628181590E1,6.047134491E2,6.495004883E2,0.000000000E0,NaN,2.071868239E0,3.796531439E0,4.386132240E0,2.600000000E1
6.929774852E1,5.037559780E1,1.628181585E1,6.047083221E2,6.494953613E2,0.000000000E0,NaN,2.071870366E0,3.831183672E0,4.547936440E0,2.600000000E1
7.029809862E1,5.037559780E1,1.628181582E1,6.047053924E2,6.494924316E2,0.000000000E0,NaN,2.071871685E0,3.918787956E0,4.709139347E0,2.600000000E1
7.129806487E1,5.037559779E1,1.628181583E1,6.047019744E2,6.494890137E2,0.000000000E0,NaN,2.071874323E0,3.916308165E0,4.820599079E0,2.600000000E1
7.229856049E1,5.037559777E1,1.628181585E1,6.047044158E2,6.494914551E2,0.000000000E0,NaN,2.071877948E0,3.850678205E0,4.846566200E0,2.700000000E1
7.329821528E1,5.037559774E1,1.628181587E1,6.047029509E2,6.494899902E2,0.000000000E0,NaN,2.071880282E0,3.866107225E0,5.135037899E0,2.700000000E1
7.429868013E1,5.037559772E1,1.628181588E1,6.047033171E2,6.494903564E2,0.000000000E0,NaN,2.071880991E0,3.944067478E0,5.302233219E0,2.800000000E1
7.529837742E1,5.037559772E1,1.628181589E1,6.047012419E2,6.494882812E2,0.000000000E0,NaN,2.072751741E0,3.954123974E0,5.330143929E0,2.800000000E1
7.629809237E1,5.037559508E1,1.628182745E1,6.050355935E2,6.498226318E2,7.099999785E-1,6.709999847E1,2.073012960E0,4.269815445E0,5.493106842E0,2.800000000E1
7.729789122E1,5.037559275E1,1.628182698E1,6.060857571E2,6.508728027E2,3.199999928E-1,6.709999847E1,2.073482613E0,3.939473629E0,4.862007618E0,2.800000000E1
7.829849659E1,5.037559310E1,1.628182038E1,6.057488390E2,6.505358887E2,6.000000238E-1,6.709999847E1,2.073979541E0,9.935046196E0,4.207696438E0,2.600000000E1
7.929806310E1,5.037559447E1,1.628181371E1,6.060120215E2,6.507990723E2,0.000000000E0,NaN,2.074156791E0,9.935046196E0,3.938823938E0,2.700000000E1
8.029791544E1,5.037559354E1,1.628181168E1,6.057612848E2,6.505483398E2,2.099999934E-1,6.709999847E1,2.074346933E0,1.005888653E1,3.672689676E0,2.600000000E1
8.129806606E1,5.037559470E1,1.628180971E1,6.052444410E2,6.500314941E2,0.000000000E0,NaN,2.074457728E0,3.790092468E0,3.407316446E0,2.500000000E1
8.229784664E1,5.037559562E1,1.628180911E1,6.051953710E2,6.499824219E2,0.000000000E0,NaN,2.074756715E0,3.790092468E0,3.091752052E0,2.800000000E1
8.329847523E1,5.037559710E1,1.628181263E1,6.053389328E2,6.501259766E2,0.000000000E0,NaN,2.075014108E0,3.790092468E0,3.056652308E0,2.900000000E1
8.429806351E1,5.037559825E1,1.628181578E1,6.049123029E2,6.496993408E2,0.000000000E0,NaN,2.075359942E0,3.790092468E0,3.254130363E0,2.800000000E1
8.529768705E1,5.037559521E1,1.628181681E1,6.052251609E2,6.500122070E2,0.000000000E0,NaN,2.075737730E0,3.790092468E0,3.484099388E0,2.900000000E1
8.629831601E1,5.037559201E1,1.628181502E1,6.054392613E2,6.502263184E2,0.000000000E0,NaN,2.076077925E0,3.790092468E0,3.826091290E0,2.900000000E1
8.729839116E1,5.037558897E1,1.628181448E1,6.056305361E2,6.504176025E2,0.000000000E0,NaN,2.076122220E0,3.872306347E0,4.029167652E0,2.900000000E1
8.829799361E1,5.037558920E1,1.628181397E1,6.054886907E2,6.502757568E2,0.000000000E0,NaN,2.076323734E0,3.953528404E0,4.251584053E0,2.700000000E1
8.929847694E1,5.037559100E1,1.628181430E1,6.050249511E2,6.498120117E2,0.000000000E0,NaN,2.076413227E0,3.989505768E0,4.348402023E0,2.500000000E1
9.029793549E1,5.037559082E1,1.628181307E1,6.050233628E2,6.498104248E2,0.000000000E0,NaN,2.076482081E0,4.144965649E0,4.645856857E0,2.600000000E1
9.129843434E1,5.037559046E1,1.628181386E1,6.049429180E2,6.497299805E2,0.000000000E0,NaN,2.076581229E0,4.133865356E0,4.636143684E0,2.400000000E1
9.229794825E1,5.037559120E1,1.628181464E1,6.048215829E2,6.496086426E2,0.000000000E0,NaN,2.076652144E0,4.050280094E0,4.722140312E0,2.600000000E1
9.329839340E1,5.037559111E1,1.628181563E1,6.047554212E2,6.495424805E2,0.000000000E0,NaN,2.076705230E0,3.889860153E0,4.555594444E0,2.500000000E1
9.429803147E1,5.037559066E1,1.628181588E1,6.048105959E2,6.495976562E2,0.000000000E0,NaN,2.076803633E0,3.818955898E0,4.450144768E0,2.600000000E1
9.529874168E1,5.037559006E1,1.628181486E1,6.048767554E2,6.496638184E2,0.000000000E0,NaN,2.076925567E0,3.790092468E0,4.452583313E0,2.700000000E1
9.629866918E1,5.037558903E1,1.628181427E1,6.050006533E2,6.497877197E2,0.000000000E0,NaN,2.076975851E0,3.824971437E0,4.647772312E0,2.700000000E1
9.729820402E1,5.037558858E1,1.628181434E1,6.049751393E2,6.497622070E2,0.000000000E0,NaN,2.077024036E0,3.790092468E0,4.580578804E0,2.800000000E1
9.829869304E1,5.037558817E1,1.628181412E1,6.049983313E2,6.497854004E2,0.000000000E0,NaN,2.077076111E0,3.790092468E0,4.651124001E0,2.800000000E1
9.929813475E1,5.037558790E1,1.628181352E1,6.049939355E2,6.497810059E2,0.000000000E0,NaN,2.077133020E0,3.790092468E0,4.757851124E0,2.700000000E1
1.002985644E2,5.037558799E1,1.628181431E1,6.048660067E2,6.496530762E2,0.000000000E0,NaN,2.077152493E0,3.917932749E0,5.040751457E0,2.700000000E1
1.012981923E2,5.037558787E1,1.628181451E1,6.048657623E2,6.496528320E2,0.000000000E0,NaN,2.077170617E0,3.940958023E0,5.024124146E0,2.700000000E1
1.022984889E2,5.037558772E1,1.628181441E1,6.048435450E2,6.496306152E2,0.000000000E0,NaN,2.077213020E0,3.897005081E0,4.921221256E0,2.700000000E1
1.032984918E2,5.037558734E1,1.628181436E1,6.049004286E2,6.496875000E2,0.000000000E0,NaN,2.077233750E0,3.790092468E0,4.562342644E0,2.500000000E1
1.042981323E2,5.037558717E1,1.628181424E1,6.049021370E2,6.496892090E2,0.000000000E0,NaN,2.077865299E0,3.790092468E0,4.339278698E0,2.500000000E1
1.052978859E2,5.037558286E1,1.628182004E1,6.058249802E2,6.506120605E2,4.099999964E-1,6.709999847E1,2.078069225E0,3.790092468E0,4.172251701E0,2.400000000E1
1.062983936E2,5.037558128E1,1.628182150E1,6.060003917E2,6.507874756E2,0.000000000E0,NaN,2.078356507E0,3.790092468E0,3.857045650E0,2.600000000E1
1.072985143E2,5.037558134E1,1.628182555E1,6.055942670E2,6.503813477E2,0.000000000E0,NaN,2.078615350E0,3.790092468E0,3.415617466E0,2.800000000E1
1.082980418E2,5.037557916E1,1.628182683E1,6.061246570E2,6.509117432E2,3.300000131E-1,6.709999847E1,2.079163276E0,3.790092468E0,2.905237198E0,2.800000000E1
1.092985489E2,5.037557862E1,1.628181915E1,6.056344152E2,6.504215088E2,6.700000167E-1,2.742999878E2,2.080550760E0,3.790092468E0,2.605504990E0,2.900000000E1
1.102981550E2,5.037557313E1,1.628180158E1,6.050648053E2,6.498519287E2,1.750000000E0,2.213999939E2,2.081923304E0,3.790092468E0,2.500000000E0,2.900000000E1
1.112985756E2,5.037556611E1,1.628178566E1,6.047677751E2,6.495549316E2,1.409999967E0,2.225000000E2,2.082922567E0,3.790092468E0,2.500000000E0,2.800000000E1
1.122986576E2,5.037556341E1,1.628177222E1,6.037684892E2,6.485556641E2,1.090000033E0,2.230000000E2,2.083878618E0,3.790092468E0,2.500000000E0,2.900000000E1
1.132983247E2,5.037555843E1,1.628176123E1,6.031897306E2,6.479769287E2,1.320000052E0,2.118999939E2,2.084788863E0,3.790092468E0,2.500000000E0,2.900000000E1
1.142985544E2,5.037555708E1,1.628174857E1,6.033841749E2,6.481713867E2,9.599999785E-1,2.436000061E2,2.085429819E0,3.790092468E0,2.500000000E0,2.900000000E1
1.152980742E2,5.037556087E1,1.628174176E1,6.034298352E2,6.482170410E2,2.399999946E-1,2.436000061E2,2.086409426E0,3.790092468E0,2.500000000E0,3.000000000E1
1.162985807E2,5.037556591E1,1.628173043E1,6.032489333E2,6.480361328E2,8.700000048E-1,2.887000122E2,2.086876453E0,3.790092468E0,2.500000000E0,3.000000000E1
1.172979653E2,5.037557011E1,1.628173047E1,6.033402544E2,6.481274414E2,2.800000012E-1,2.887000122E2,2.087634779E0,3.790092468E0,2.500000000E0,3.100000000E1
1.182982833E2,5.037557365E1,1.628173961E1,6.038363657E2,6.486235352E2,3.600000143E-1,2.887000122E2,NaN,3.790092468E0,2.500000000E0,3.300000000E1
