
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
13:21:15:207,0.5861,0.6023,0.5840,1.5851,0.0279,-0.1336,0.3887,-0.6064,-0.1950,276.0075,50.37562931,16.28175891,0.00000000,
13:21:15:250,0.3799,0.4809,0.5386,1.5851,0.0279,-0.1336,0.3887,-0.6064,-0.1950,276.0075,50.37562931,16.28175891,0.00000000,
13:21:15:259,0.3799,0.4809,0.5386,1.5851,0.0279,-0.1336,0.0939,-0.8511,-0.5101,276.0075,50.37562931,16.28175891,0.00000000,
13:21:15:275,0.3799,0.4809,0.5386,1.9200,-1.8410,-1.4668,0.0939,-0.8511,-0.5101,276.0075,50.37562931,16.28175891,0.00000000,
13:21:15:319,0.3651,0.5517,0.6267,1.9200,-1.8410,-1.4668,0.0939,-0.8511,-0.5101,276.0075,50.37562931,16.28175891,0.00000000,
13:21:15:326,0.3651,0.5517,0.6267,1.9200,-1.8410,-1.4668,0.0446,-1.0130,-0.4545,276.0075,50.37562931,16.28175891,0.00000000,
13:21:15:344,0.3651,0.5517,0.6267,0.3685,-1.9728,-1.0053,0.0446,-1.0130,-0.4545,276.0075,50.37562931,16.28175891,0.00000000,
13:21:15:365,0.3651,0.5517,0.6267,0.3685,-1.9728,-1.0053,0.0446,-1.0130,-0.4545,268.9875,50.37562931,16.28175891,0.00000000,
13:21:15:387,0.3054,0.6477,0.5195,0.3685,-1.9728,-1.0053,0.0446,-1.0130,-0.4545,268.9875,50.37562931,16.28175891,0.00000000,
13:21:15:394,0.3054,0.6477,0.5195,0.3685,-1.9728,-1.0053,0.3943,-0.8807,-0.4560,268.9875,50.37562931,16.28175891,0.00000000,
13:21:15:410,0.3054,0.6477,0.5195,-0.2363,-1.2302,0.0068,0.3943,-0.8807,-0.4560,268.9875,50.37562931,16.28175891,0.00000000,
13:21:15:454,0.2257,0.6878,0.4449,-0.2363,-1.2302,0.0068,0.3943,-0.8807,-0.4560,268.9875,50.37562931,16.28175891,0.00000000,
13:21:15:462,0.2257,0.6878,0.4449,-0.2363,-1.2302,0.0068,0.1463,-0.6851,-0.5018,268.9875,50.37562931,16.28175891,0.00000000,
13:21:15:479,0.2257,0.6878,0.4449,-0.5953,-0.4934,-1.2370,0.1463,-0.6851,-0.5018,268.9875,50.37562931,16.28175891,0.00000000,
13:21:15:521,0.2033,0.7138,0.4342,-0.5953,-0.4934,-1.2370,0.1463,-0.6851,-0.5018,268.9875,50.37562931,16.28175891,0.00000000,
13:21:15:525,0.2033,0.7138,0.4342,-0.5953,-0.4934,-1.2370,0.1463,-0.6851,-0.5018,262.9800,50.37562931,16.28175891,0.00000000,
13:21:15:530,0.2033,0.7138,0.4342,-0.5953,-0.4934,-1.2370,0.1106,-0.2546,-0.6257,262.9800,50.37562931,16.28175891,0.00000000,
13:21:15:547,0.2033,0.7138,0.4342,-0.9604,-0.4928,-1.1761,0.1106,-0.2546,-0.6257,262.9800,50.37562931,16.28175891,0.00000000,
13:21:15:589,0.0920,0.7755,0.3581,-0.9604,-0.4928,-1.1761,0.1106,-0.2546,-0.6257,262.9800,50.37562931,16.28175891,0.00000000,
13:21:15:597,0.0920,0.7755,0.3581,-0.9604,-0.4928,-1.1761,-0.1013,0.1756,-1.0919,262.9800,50.37562931,16.28175891,0.00000000,
13:21:15:615,0.0920,0.7755,0.3581,-0.5237,-0.1143,-1.4269,-0.1013,0.1756,-1.0919,262.9800,50.37562931,16.28175891,0.00000000,
13:21:15:657,-0.2038,0.8559,0.4726,-0.5237,-0.1143,-1.4269,-0.1013,0.1756,-1.0919,262.9800,50.37562931,16.28175891,0.00000000,
13:21:15:666,-0.2038,0.8559,0.4726,-0.5237,-0.1143,-1.4269,-0.5256,0.5802,-0.8854,262.9800,50.37562931,16.28175891,0.00000000,
13:21:15:682,-0.2038,0.8559,0.4726,-1.5740,0.5495,-2.0771,-0.5256,0.5802,-0.8854,262.9800,50.37562931,16.28175891,0.00000000,
13:21:15:686,-0.2038,0.8559,0.4726,-1.5740,0.5495,-2.0771,-0.5256,0.5802,-0.8854,261.9675,50.37562931,16.28175891,0.00000000,
13:21:15:724,-0.3108,0.9023,0.6356,-1.5740,0.5495,-2.0771,-0.5256,0.5802,-0.8854,261.9675,50.37562931,16.28175891,0.00000000,
13:21:15:735,-0.3108,0.9023,0.6356,-1.5740,0.5495,-2.0771,-0.0255,0.8205,-0.3178,261.9675,50.37562931,16.28175891,0.00000000,
